id	title	description	status	created_at	updated_at	root_id	development_proposal_and_clarification	ball_park_estimate	impact_on_market	priority	argumentation_for_proposal	proposal_impact	next_steps	categories	planned_release_version
54	CSUSE0026959	"Supplier role should have same authorizations for data as for third party.

With customer authorization supplier should get metering data and other data from same time period as third party gets. The current limitation has no arguments and get supplier for unfare situation with sales consult and causes unnecessary tricks, when e.g. there is need to establish third party role (for supplier) that then can make those actions."	3				"Supplier role should have same authorizations for data as for third party.

With customer authorization supplier should get metering data and other data from same time period as third party gets. The current limitation has no arguments and get supplier for unfare situation with sales consult and causes unnecessary tricks, when e.g. there is need to establish third party role (for supplier) that then can make those actions."	1	0	2			Todettiin että tämä on sama tarve, kun aiemmin läpikäyty kehitysehdotus #55	Valtuutusprosessi	
55	CSUSE0027334	"DH-311-4 is also sent to same supplier who reported a move-in to the related accounting point.

Could datahub add the same rule to the DH-311-4 notification as there is for the DH-311-3 notification? ""Is the supplier that notifies the move-in the same as the supplier of the related accounting point?"" If yes, then DH-311-4 is not sent.

There have been cases in production where agreements on related accounting points have been reported at different times.

E.g. move-in to the comsumption accounting point on 25.7. and move-in to the production accounting point on 29.7. The later move-in has caused a DH-311-4 notification to the supplier of the consumption accounting point even though both accounting points have the same supplier and the same customer."	1				"DH-311-4 is also sent to same supplier who reported a move-in to the related accounting point.

Could datahub add the same rule to the DH-311-4 notification as there is for the DH-311-3 notification? ""Is the supplier that notifies the move-in the same as the supplier of the related accounting point?"" If yes, then DH-311-4 is not sent.

There have been cases in production where agreements on related accounting points have been reported at different times.

E.g. move-in to the comsumption accounting point on 25.7. and move-in to the production accounting point on 29.7. The later move-in has caused a DH-311-4 notification to the supplier of the consumption accounting point even though both accounting points have the same supplier and the same customer."	1	1	2	Mahdollisesti poistaa tarpeettomia sanomia riippuen osapuolen pään toteutuksesta.		"Suositus tarkennuksella ehdotettuun ratkaisukuvaukseen, että DH-311-4 ei lähde, jos sekä myyjä että asiakas ovat samat kulutus- ja tuotantokäyttöpaikoilla.
21.9.2023: Kehitystyöryhmässä oli tähän erilaisia näkemyksiä, myös sen suhteen, tulisiko muutosta toteuttaa ollenkaan. Selvennetään vielä tähän liittyvää kysymystä ja jatketaan ehdotuksen käsittelyä seuraavassa kehitystyöryhmässä.
09.11.2023 Lopputulemana päädyttiin siihen, että selvitetään vielä, onko asia tarve viedä alityöryhmään keskusteltavaksi. Muussa tapauksessa suositeltiin, että viedään kehitettäväksi eteenpäin niin, että tarkastellaan vain käyttöpaikkojen asiakastietoja."	Sopimusprosessi	
56	CSUSE0027758	"Reports: 
 Balance calculation input control report:
 - report does not include GSRN number in .sd file and GLN supplier id in .md file

 Balance quality and location control panel:
 - possiblity to limit longer period of time to the seach -> accounting points for selected period of time series data
 - search with status ""null"", ""missing"" or ""uncertain"", e.g. when checking the invoicing monthly
 - possibility to export only ""null"", ""missing"" or ""uncertain"" data lists into MS Excel
 - NOBS by accounting point id according to the different statuses

- Link from report to the accounting point data details.
- e.g. Number of Accounting points -> list shall contain accounting point ids to avoid run separate accounting point report or filter if accounting point is connected but not metered.
- e.g. Number of Load Curve Accounting Points -> now only number of accounting points but also have accounting point ids
- accounting point lists on reports or directly to MS Excel (no need to modify in between)
- drilling down to data would be easier if datahub had more sheets for reports and same time possibility to lood at accounting point data (e.g. if checking on accounting point level report ""Accounting Points without Balance Supplier"")
Porautuminen tietoon olisi helpompaa, jos DH avautuisi useampi välilehti niin että haettu raportti ei katoa, jos välillä esim 
     "	3				"Reports: 
 Balance calculation input control report:
 - report does not include GSRN number in .sd file and GLN supplier id in .md file

 Balance quality and location control panel:
 - possiblity to limit longer period of time to the seach -> accounting points for selected period of time series data
 - search with status ""null"", ""missing"" or ""uncertain"", e.g. when checking the invoicing monthly
 - possibility to export only ""null"", ""missing"" or ""uncertain"" data lists into MS Excel
 - NOBS by accounting point id according to the different statuses

- Link from report to the accounting point data details.
- e.g. Number of Accounting points -> list shall contain accounting point ids to avoid run separate accounting point report or filter if accounting point is connected but not metered.
- e.g. Number of Load Curve Accounting Points -> now only number of accounting points but also have accounting point ids
- accounting point lists on reports or directly to MS Excel (no need to modify in between)
- drilling down to data would be easier if datahub had more sheets for reports and same time possibility to lood at accounting point data (e.g. if checking on accounting point level report ""Accounting Points without Balance Supplier"")
Porautuminen tietoon olisi helpompaa, jos DH avautuisi useampi välilehti niin että haettu raportti ei katoa, jos välillä esim 
     "	?	0	2				Yleinen hallinta	
57	CSUSE0028271	"Reporting need: 

From grid company point of view it would be good to know in this kind of energy business situation at least own grid area (and whole Finland) fixed term sales contracts validation times on sum level if it is not possible to delivery that information on accounting point level:
- on year 2022 monthly / daily ended fixed term agreements
- on year 2022 new fixed term agreements / ended fixed term agreements next step agreements
- ended fixed term agreements next step open ended agreements (not fixed term)
- on year 2023 ending fixed term agreements
- raport would be more valuable if sales agreements were grouped by annual consumption e.g. agreement using over and under 10 000 kWh and number of those.

From grid company perspective it would be valuable to get visibility on own MGA's sales agreement status and customer status on changing energy price situation.
Grid company could thus predict for customer cost preasure on changing market situation and prepare for different scenarios from own debt point of view when the overall visibility on market situation is available. On the other hand customer overall situation would help also to study different demand response actions impact on customers."	3				"Reporting need: 

From grid company point of view it would be good to know in this kind of energy business situation at least own grid area (and whole Finland) fixed term sales contracts validation times on sum level if it is not possible to delivery that information on accounting point level:
- on year 2022 monthly / daily ended fixed term agreements
- on year 2022 new fixed term agreements / ended fixed term agreements next step agreements
- ended fixed term agreements next step open ended agreements (not fixed term)
- on year 2023 ending fixed term agreements
- raport would be more valuable if sales agreements were grouped by annual consumption e.g. agreement using over and under 10 000 kWh and number of those.

From grid company perspective it would be valuable to get visibility on own MGA's sales agreement status and customer status on changing energy price situation.
Grid company could thus predict for customer cost preasure on changing market situation and prepare for different scenarios from own debt point of view when the overall visibility on market situation is available. On the other hand customer overall situation would help also to study different demand response actions impact on customers."	2	0	1				Yleinen hallinta	
58	CSUSE0028392	"We have also had issues with customer data quality in messages from datahub, e.g. tickets CSUSE0027420 and CSUSE0027248.

In both cases we have correct personal id and correct natural person, event brought wrong customer data.
Proposal 1: DH validates incoming event for customer data against VTJ service and return it to the sending party in case validation fails.
Proposal 2:   DH validates incoming event against own customer database and sends notification about abnormal data to a party -> event stays open to wait validation. The sender needs to check if they have correct data. If they have, they have to ask Fingrid to inform other party(parties) to check the customer data.
Proposal 3: Is it possible to do similar customer data check from VTJ service as was implemented on migration service before go-live and deliver correction lists to the market parties one more time."	6				"We have also had issues with customer data quality in messages from datahub, e.g. tickets CSUSE0027420 and CSUSE0027248.

In both cases we have correct personal id and correct natural person, event brought wrong customer data.
Proposal 1: DH validates incoming event for customer data against VTJ service and return it to the sending party in case validation fails.
Proposal 2:   DH validates incoming event against own customer database and sends notification about abnormal data to a party -> event stays open to wait validation. The sender needs to check if they have correct data. If they have, they have to ask Fingrid to inform other party(parties) to check the customer data.
Proposal 3: Is it possible to do similar customer data check from VTJ service as was implemented on migration service before go-live and deliver correction lists to the market parties one more time."			1			Selvitetään vielä mahdollisuuksia lainsäädännön osalta datahubin tarkastuksille ja mitä tarkoittaisi datahubin kannalta.	Asiakastietoprosessi	
59	CSUSE0028737	"How shall we act if disconnection delay cannot be done on time frames? It is not possible to get safe connection confirmation to a customer.

DH documentation: day after Lastest on the following business day from the supplier request connection day if 
7.2 there is no notification made for that request. Notification is received still after that time, but late send notifications will be validated.
- Grid company needs to confirm safe connection. If grid does not get information about safe connection - connection request can stay incomplete for longer time. Assumption is that this issue is not removed totally even customer is tried to be contacted from us but not succeeded.

Most of sales companies and their collection agencies make sure safety but information is not transferred from datahub to grid company."	5				"How shall we act if disconnection delay cannot be done on time frames? It is not possible to get safe connection confirmation to a customer.

DH documentation: day after Lastest on the following business day from the supplier request connection day if 
7.2 there is no notification made for that request. Notification is received still after that time, but late send notifications will be validated.
- Grid company needs to confirm safe connection. If grid does not get information about safe connection - connection request can stay incomplete for longer time. Assumption is that this issue is not removed totally even customer is tried to be contacted from us but not succeeded.

Most of sales companies and their collection agencies make sure safety but information is not transferred from datahub to grid company."	2/3	2	3			Kehitystyöryhmä ei nähnyt lisäarvoa sille, että tieto turvallisesta kytkennästä tuotaisiin Datahubiin. Aikarajoista poikkeavaa kytkennän viivästymisen ilmoittamista ei pidetty ongelmana, sillä Datahub sallii ilmoituksen myös aikarajoista poiketen, ja mikäli esimerkiksi perinnän yhteydessä kytkentää ei tehdä asiakkaan maksun suorituksen jälkeen, asiakas on hyvin nopeasti yhteydessä asiasta. Todettiin myös, että nykyinen dokumentaatio on riittävä eikä siihen tarvita muutosta. 	Käyttöpaikkaprosessi	
60	CHGUSE0000032138	Proposal 1: 	5				Proposal 1: 	2	0	1	Fingrid needs specific data for distribution systen operators overall consumption to be able to manage better possible lack of electricity in Finland.			Raportointi	1.9.0 p/2.0
61	INCUSE0000065774	"When a sales agreement is cancelled (DH-341), previous agreements ended using a bulk process are not handled the same way as previous agreements that have been ended with DH-331 or DH-311. DH-341 does not restore a previous agreement ""if the previous Sales Agreement already had an end date (followed by gap or not) that was explicitly reported by the Previous Supplier using the (DH-311) creation process or (DH-331) termination process.""
This also needs to include the bulk process so that agreements ended with that are not restored. 
"	5				"When a sales agreement is cancelled (DH-341), previous agreements ended using a bulk process are not handled the same way as previous agreements that have been ended with DH-331 or DH-311. DH-341 does not restore a previous agreement ""if the previous Sales Agreement already had an end date (followed by gap or not) that was explicitly reported by the Previous Supplier using the (DH-311) creation process or (DH-331) termination process.""
This also needs to include the bulk process so that agreements ended with that are not restored. 
"	2	0	1	Jos/kun näitä konkursseja tulee enemmän syksyn aikana niin tää puute määrittelyssä tulee työllistään ASPA:a ihan älyttömiä määriä, kun saadaan koko ajan olla käsin päättämässä noita uudestaan, jos uusi sopimus peruutetaan.			Sopimusprosessi	2.1
62	"CSUSE0029459

INCUSE0000055887
CHGUSE0000032203 "	"(Process document) Making a grid agreement: 
Datahub will decide whether a new grid agreement is necessary based on data reported by the supplier and on the accounting point's customer and agreement status at the given time. If the matter concerns a move in, a new grid agreement is always made. If the matter concerns a change in supplier or agreement, a new grid agreement is required in those situations wherein the valid 
grid agreement for an accounting point is held by a customer that differs from the customer in the upcoming sales agreement. ... Even if the customers of the agreements would match, a new grid agreement is needed if the “delivery agreement” attributes of the agreements do not match, ...

At the moment, the check on the ""delivery agreement"" field only takes into account the previous sales agreement and not the grid agreement. In situations where a new sales agreement is created and there already is a grid agreement but no previous sales agreement on the accounting point, this can lead to a mismatch between the sales and the grid agreement's ""delivery agreement"" information."	1				"(Process document) Making a grid agreement: 
Datahub will decide whether a new grid agreement is necessary based on data reported by the supplier and on the accounting point's customer and agreement status at the given time. If the matter concerns a move in, a new grid agreement is always made. If the matter concerns a change in supplier or agreement, a new grid agreement is required in those situations wherein the valid 
grid agreement for an accounting point is held by a customer that differs from the customer in the upcoming sales agreement. ... Even if the customers of the agreements would match, a new grid agreement is needed if the “delivery agreement” attributes of the agreements do not match, ...

At the moment, the check on the ""delivery agreement"" field only takes into account the previous sales agreement and not the grid agreement. In situations where a new sales agreement is created and there already is a grid agreement but no previous sales agreement on the accounting point, this can lead to a mismatch between the sales and the grid agreement's ""delivery agreement"" information."	1	0	1	Tämän datahubin virheellisen toiminnan vuoksi aiheutuu tällä erää merkittävää haittaa jo asiakkaille astikin, koska kiertotienä on ainoastaan verkkosopimuksen päättäminen ja sen jälkeen uuden sopimuksen teko myyjän toimesta. Tämä aiheuttaa tämä tilanteita, joissa asiakas ei näe kulutustietojaan online-palveluissa, ennen kuin myyjä saa tehtyä sopimuksen uudestaan. Tämä korostuu erityisesti nyt, kun toivotaan, että uusi myyjä aloittaa myyntinsä jopa takautuvasti tilanteissa, joissa nykyisen myyjän toiminta päättyy. Sen lisäksi, että tämä asia näkyy loppuasiakkaille, tämä virhe on todella työllistävä, niin käyttöönoton jälkeen olemme kiertotien mukaisesti ”kikkailleet” tuhansia ja tuhansia sopimuksia ja osassa tarvinneet operaattorinkin apua, sillä välillä verkkosopimus on päätettävä takautuvastikin.			Sopimusprosessi	2.1
63	CSUSE0011242	Datahub connection verification	3				Datahub connection verification	0	1	2				Sanomahallinta	
64	CSUSE0019767	"Foreign addresses

Datahub name and address instruction:
2.5 Foreign addresses
When datahub has received address that has some other country than Finland, datahub does not validate the content of the address. That makes it possible to use the address fields more freely.

It is not possible to start the event (from market party site) without house number. We need to add zero (0) to house number for all foreign addresses.

Vendor response: 
Stage 7 Validation Rules - Update 1.xlsx document:
Either the PO Box number or the Street Name with Building Number must be submitted.
That means that foreign customer invoice address has to have street number (0 if address does not exist) or Box number."	1				"Foreign addresses

Datahub name and address instruction:
2.5 Foreign addresses
When datahub has received address that has some other country than Finland, datahub does not validate the content of the address. That makes it possible to use the address fields more freely.

It is not possible to start the event (from market party site) without house number. We need to add zero (0) to house number for all foreign addresses.

Vendor response: 
Stage 7 Validation Rules - Update 1.xlsx document:
Either the PO Box number or the Street Name with Building Number must be submitted.
That means that foreign customer invoice address has to have street number (0 if address does not exist) or Box number."	1	1	1		On vaikutusta osapuoliin, jos ovat jo toteuttaneet jotain sääntöjä tämän osalta omissa järjestelmissään.	Tehdään ehdotettu päivitys ohjetekstiin. 	Asiakastietoprosessi	
65	CSUSE0027141	"Agreement net invoice data has too long identification?

Has there been any cases  that agreement net invoice address would be too long in datahub? According to our understanding that identification shall include, when using net invoice with Finvoice format, into the data field that has 35 characters. Datahub identification has 50 characters. That has caused challenges and messages returning error message in the market party system, when system follows that Finvoice character limitation."	3				"Agreement net invoice data has too long identification?

Has there been any cases  that agreement net invoice address would be too long in datahub? According to our understanding that identification shall include, when using net invoice with Finvoice format, into the data field that has 35 characters. Datahub identification has 50 characters. That has caused challenges and messages returning error message in the market party system, when system follows that Finvoice character limitation."	?	?	2				Laskutustiedot	
66	"CHGUSE0000032012
CSUSE0007508
CSUSE0025982"	"As discussed on INCUSE0000063038:
Validation rule VR.MPT.010.208 allows status changes only to status ""Removed from use"" or ""Under construction"" via CMS GUI. This validation rule is NOT a valid rule for exchange points as DH-400 processes are not applicable for them and statuses of exchange points are only updated via CMS GUI.

Several different status changes should be enable for exchange points, however changing status to ""Deleted"" shall be possible only to MOP users. 
That is not to update status ""Deleted"" anymore to other statuses, which has been an issue in CSUSE0007508 (ADO 6217). In addition there should be a rule which would not allow status change from ""Deleted"" to any other statuses.

The new validation rule/change in existing rule shall take following point into account exchange points:
- DSO users: change of Exchange Point Status allowed to: Disconnected, Connected, Under construction, Removed from use
- MOP users: change of Exchange Point Status allowed to: Disconnected, Connected, Under construction, Removed from use, Deleted
- It shall not be possible to update deleted exchange point to other statuses (considers all users) - not to cause issues in CSUSE0007508 (ADO 6217)

Updating of exchange points should work a bit similarly as it does now on Production units as both of these metering point types do not have DH-400 processes."	3				"As discussed on INCUSE0000063038:
Validation rule VR.MPT.010.208 allows status changes only to status ""Removed from use"" or ""Under construction"" via CMS GUI. This validation rule is NOT a valid rule for exchange points as DH-400 processes are not applicable for them and statuses of exchange points are only updated via CMS GUI.

Several different status changes should be enable for exchange points, however changing status to ""Deleted"" shall be possible only to MOP users. 
That is not to update status ""Deleted"" anymore to other statuses, which has been an issue in CSUSE0007508 (ADO 6217). In addition there should be a rule which would not allow status change from ""Deleted"" to any other statuses.

The new validation rule/change in existing rule shall take following point into account exchange points:
- DSO users: change of Exchange Point Status allowed to: Disconnected, Connected, Under construction, Removed from use
- MOP users: change of Exchange Point Status allowed to: Disconnected, Connected, Under construction, Removed from use, Deleted
- It shall not be possible to update deleted exchange point to other statuses (considers all users) - not to cause issues in CSUSE0007508 (ADO 6217)

Updating of exchange points should work a bit similarly as it does now on Production units as both of these metering point types do not have DH-400 processes."	1	0	2				Käyttöpaikkaprosessi	
67	CSUSE0028993	"Search for e.g. accouting point
Is it possible that datahub could search more than one accounting point/customer/agreement at time?"	3				"Search for e.g. accouting point
Is it possible that datahub could search more than one accounting point/customer/agreement at time?"			2			Tämä on ollut haasteena erityisesti pientuotantokäyttöpaikkojen osalta. Muutos datahubiin voi olla iso, mutta todettiin että selvitetään muutoksen laajuus.	Yleinen hallinta	
68	CSUSE0029082	"Datahub - Retrospective Sales Agreement notification
We have received a retrospective agreement start request for accounting point XXX from another supplier. We have assumed that retrospective start requests concern only move-in cases, but the agreement on accounting point XXX has now ended retrospectively due to change of supplier. We have not received information that this was about a supplier change. In case of retrospective move-ins we have made compromises and accepted those from another supplier, but change of supplier is not something that we want to accept retrospectively. How can we know if a retrospective agreement start request from another supplier is a move-in or a change of supplier? We are not willing to accept retrospective agreement start requests from other suppliers if we do not receive the information whether these concern a move-in or a supplier change without separately asking the other supplier."	6				"Datahub - Retrospective Sales Agreement notification
We have received a retrospective agreement start request for accounting point XXX from another supplier. We have assumed that retrospective start requests concern only move-in cases, but the agreement on accounting point XXX has now ended retrospectively due to change of supplier. We have not received information that this was about a supplier change. In case of retrospective move-ins we have made compromises and accepted those from another supplier, but change of supplier is not something that we want to accept retrospectively. How can we know if a retrospective agreement start request from another supplier is a move-in or a change of supplier? We are not willing to accept retrospective agreement start requests from other suppliers if we do not receive the information whether these concern a move-in or a supplier change without separately asking the other supplier."	1	0	2			Kasvatetaan merkkimäärää myyjän täyttämälle lisätietokentälle.	Sopimusprosessi	
69	CSUSE0030325	"Supplier: Refusing of agreement restoring returns error accounting point XXX agreement YYY.

We have received 341-3 message 3.10. concerning sales agreement restore to supplier's sales on accounting point. Agreement has originally ended on 1.10. If I now sent refusing so agreement ending to the original time, it would give error notification to the message: Failed to send notification of refusal of contract restore for customer XXXX, contract 2.
Deviation message: Ending cannot be notified before 3.10. If there is refusal, it should be possible to end the agreement on the original time.

I want to get the accounting point on ""no supplier"" state to be able to do on accounting point, according to  business transfer from supplier to another, agreement for supplier 2 starting 1.10."	3				"Supplier: Refusing of agreement restoring returns error accounting point XXX agreement YYY.

We have received 341-3 message 3.10. concerning sales agreement restore to supplier's sales on accounting point. Agreement has originally ended on 1.10. If I now sent refusing so agreement ending to the original time, it would give error notification to the message: Failed to send notification of refusal of contract restore for customer XXXX, contract 2.
Deviation message: Ending cannot be notified before 3.10. If there is refusal, it should be possible to end the agreement on the original time.

I want to get the accounting point on ""no supplier"" state to be able to do on accounting point, according to  business transfer from supplier to another, agreement for supplier 2 starting 1.10."	1	0	2	Ei voida toteuttaa, koska voi aiheuttaa tilanteen, jossa käyttöpaikan kulutus siirtyy takautuvasti jakeluverkon häviöihin (mikäli uutta myyntisopimusta ei tule ollenkaan ko. jaksolle). Takautuvan sopimuksen ilmoittaminen voidaan hoitaa muilla olemassa olevilla prosesseilla. Tästä on käyty keskustelu myös ET:n kanssa (11.11.2022).		Tarkastuksen jälkeen todettu että ei voida edistää. Katso perustelut.	Sopimusprosessi	
70	PTASK0010270	"Remove the country code restriction (DK, EE, FI, NO, SE) from the F16 Party Information message and allow all country codes. 

Now DH-921 requests fail with a soap validation error if the results include a party with a country code other than those currently allowed."	3				"Remove the country code restriction (DK, EE, FI, NO, SE) from the F16 Party Information message and allow all country codes. 

Now DH-921 requests fail with a soap validation error if the results include a party with a country code other than those currently allowed."	1	1	1				Osapuolitiedot	2.4
71	CSUSE0029876	Over six weeks ago terminated sales agreement and fixed time series data: Supplier's XXXX agreement YYYY has been terminated on accounting point on 16.3.2022. There has been made time series data correction in august 2022 on this accounting point and supplier informed that they had received the corrected data on 17.8.2022 from datahub and they had fixed the invoice based on new information. When agreement has been terminated over six weeks before (fix 17.8.2022 and agreement termination 16.3.2022), the question is why time series have been delivered to the supplier whose responsibility to fix data has been terminated?	3				Over six weeks ago terminated sales agreement and fixed time series data: Supplier's XXXX agreement YYYY has been terminated on accounting point on 16.3.2022. There has been made time series data correction in august 2022 on this accounting point and supplier informed that they had received the corrected data on 17.8.2022 from datahub and they had fixed the invoice based on new information. When agreement has been terminated over six weeks before (fix 17.8.2022 and agreement termination 16.3.2022), the question is why time series have been delivered to the supplier whose responsibility to fix data has been terminated?	1	0	2				Mittaustiedonhallinta	
72	CSUSE0030905	"Joker sign in accounting point search: 
Current accounting point DH-131 uses joker sign as default. E.g. search ""Markontiet 1"" returns together with exact search result also all combinations where there is number 1:
- Markontie 1
- Markontie 1 B
- Markontie 1 A 12

Is there way to force the accounting point search to ignore the joker sign? The search results should give only the ""Markontie 1"".

Why the joker sign is used as default anyway? It should be additional sign to be used."	3				"Joker sign in accounting point search: 
Current accounting point DH-131 uses joker sign as default. E.g. search ""Markontiet 1"" returns together with exact search result also all combinations where there is number 1:
- Markontie 1
- Markontie 1 B
- Markontie 1 A 12

Is there way to force the accounting point search to ignore the joker sign? The search results should give only the ""Markontie 1"".

Why the joker sign is used as default anyway? It should be additional sign to be used."	1/2	1	2				Käyttöpaikkaprosessi	
73	CSUSE0030610	"Datahub reporting:
Balance settelement quality and place control panel

1) All below mentioned information shall be possible to be exported to csv file, not just viewable in the view. List of MGA accounting points and related information (e.g. time period that is missing data).

2) There shall be possible to get accounting point level data to csv file in the following reports:
- Number of accounting points report, that have breakdown by combination of accounting point type, state, metering method and production type."	1				"Datahub reporting:
Balance settelement quality and place control panel

1) All below mentioned information shall be possible to be exported to csv file, not just viewable in the view. List of MGA accounting points and related information (e.g. time period that is missing data).

2) There shall be possible to get accounting point level data to csv file in the following reports:
- Number of accounting points report, that have breakdown by combination of accounting point type, state, metering method and production type."	1/2	0	2	"1) tuotemuutoksia
2) konfiguroitava"			Raportointi	
74	CSUSE0032991	"Data notification out of netting calculation to the DSO:
DSO shall be possible to get notification if accounting points belong to the netting calculation using separate event/message (from datahub to DSO). From DSO point of view it would be necessary in the metering data systems to be able to know for sure when they need to send the metered data and when netted time series data for the customer information system invoicing.
In the current implementation this data is available only in the datahub GUI. The data shall be availble when there is change in the information if it belongs to netting calculation."	3				"Data notification out of netting calculation to the DSO:
DSO shall be possible to get notification if accounting points belong to the netting calculation using separate event/message (from datahub to DSO). From DSO point of view it would be necessary in the metering data systems to be able to know for sure when they need to send the metered data and when netted time series data for the customer information system invoicing.
In the current implementation this data is available only in the datahub GUI. The data shall be availble when there is change in the information if it belongs to netting calculation."	2	2	1	Jakeluverkonhaltija saa tiedon käyttöpaikkojen kuulumisesta netotuslaskentaan.	Kts. Ratkaisukuvaus.	"1.2.2023: Viedään alityöryhmälle kannanottoon.
13.4.2023: Alityöryhmä ei suositellut, ongelma yksittäisissä järjestelmissä, jatketaan selvittelyä järjestelmätoimittajien kanssa.
31.1.2024: Tehdään kysely jakeluverkonhaltijoille, jolla selvitetään tarve vaihtoehdon 1 mukaisille uusille sanomille.  "	Käyttöpaikkaprosessi	
75	CSUSE0033489	"Supplier role, balance deviation calculation summary information view:
Supplier shall also be albe to get summary report of balance deviation calculation round about fixes by MGA. Thus it would snow all different MGAs where supplier has sales and fixes by numbers and sums. Similar as DSOs have possibility to see all MGAs suppliers number of fixes and sums on same time series view. "	3				"Supplier role, balance deviation calculation summary information view:
Supplier shall also be albe to get summary report of balance deviation calculation round about fixes by MGA. Thus it would snow all different MGAs where supplier has sales and fixes by numbers and sums. Similar as DSOs have possibility to see all MGAs suppliers number of fixes and sums on same time series view. "	2	0	2				Laskennat	
76	CSUSE0033913	"Time series data for full day on the meter installation/removal day:
When there is new accounting point meter installation (or removal of old ones) datahub does not require metering data set for the full day on that day when installation/removal is done, even agreements are required to start/stop on day level.

Because of that supplier does not get full set of data for invoincing as there is missing data from the beginning or end of the time and many supplier invoicing systems typically are not able to full the missing data as the responsibility on the measurements is on the DSO. And also instructions are that supplier is not allowed to manipulate the time series data by itself.

At the moment the accounting points are ""under construction"" before the meter is installed (or after the meter is removed) and datahub does not require data for that period. A part of the DSOs sends full set of data for those days and fill the hours before or after (meter change) with zero values, but some DSO do not do that.
Most of the invoicing systems require that all hours are available for agreement validity period. The best resolution would be that DSO just fill those days when there is meter installation/removal. This is more complicated for supplier to automate this and it is not supplier's responsibility to do that.

It is undertandable that data is missing on those days as there is no meter available, but it should not cause issues for supplier as agreements are on day level, not according to the start of connection state."	3				"Time series data for full day on the meter installation/removal day:
When there is new accounting point meter installation (or removal of old ones) datahub does not require metering data set for the full day on that day when installation/removal is done, even agreements are required to start/stop on day level.

Because of that supplier does not get full set of data for invoincing as there is missing data from the beginning or end of the time and many supplier invoicing systems typically are not able to full the missing data as the responsibility on the measurements is on the DSO. And also instructions are that supplier is not allowed to manipulate the time series data by itself.

At the moment the accounting points are ""under construction"" before the meter is installed (or after the meter is removed) and datahub does not require data for that period. A part of the DSOs sends full set of data for those days and fill the hours before or after (meter change) with zero values, but some DSO do not do that.
Most of the invoicing systems require that all hours are available for agreement validity period. The best resolution would be that DSO just fill those days when there is meter installation/removal. This is more complicated for supplier to automate this and it is not supplier's responsibility to do that.

It is undertandable that data is missing on those days as there is no meter available, but it should not cause issues for supplier as agreements are on day level, not according to the start of connection state."	"V1:0
V2:2/3->1/2
V3:1->2
V4: 2"		DO			"11.5.2023: Viedään alityöryhmään arvioitavaksi järjestelmätoimittajien kannalta eri etenemisvaihtoehdot.
13.6.2023: Nykyinen malli pidetään eikä oteta väliaikaista mallia käyttöön.  Lähdetään dokumentoimaan tätä paremmin ja lähetetään aiheesta uutiskirjettä ja tiedotetaan päätöksistä."	Mittaustietoprosessi	
77	CSUSE0032966	"Open events:
Most correct way process works on accounting point XXX, where all happens automatically by events/messages (cancellation of previous move out and new termination message). On my opinion move outs shall happen also with events/messages and rather create RC code that notifies supplier about retrospective move out.

Development topic for open transactions:

3) It feels that entity list is not fixed and it is hard to follow what has been already handled. The order of list cannot be managed by user. It is not possbile to overview and system does not show all search results on same time and user cannot denyi events. Excel export does not either help in this case.
"	4				"Open events:
Most correct way process works on accounting point XXX, where all happens automatically by events/messages (cancellation of previous move out and new termination message). On my opinion move outs shall happen also with events/messages and rather create RC code that notifies supplier about retrospective move out.

Development topic for open transactions:

3) It feels that entity list is not fixed and it is hard to follow what has been already handled. The order of list cannot be managed by user. It is not possbile to overview and system does not show all search results on same time and user cannot denyi events. Excel export does not either help in this case.
"			2				Sanomahallinta	2.2/2.3
78	CSUSE0034295	"With Datahub's Data Interface, it is possible to retrieve customer, accounting point, contract, and measurement information for a party's 'own' customers. Offer authorization from the customer provides access to customer details, accounting point, and measurement data. Would it be possible to enhance this by also including the end date of fixed-term agreement with offer authorization?

Currently, we have to attempt new agreement using the DH-300 process, and only during the new agreement creation process  get information about customer's fixed-term duration (or rejection if the fixed term is more than 3 months in the future). The desired start date for a new agreement obtained from a customer often differs from the end date of their previous fixed-term agreement. The fixed-term end date also significantly impacts pricing for contracts offered to customers.

This change would avoid unnecessary messages between DH and parties, reduce pricing risks for the involved parties, and enable better electricity pricing for customers based on their actual consumption."""	3				"With Datahub's Data Interface, it is possible to retrieve customer, accounting point, contract, and measurement information for a party's 'own' customers. Offer authorization from the customer provides access to customer details, accounting point, and measurement data. Would it be possible to enhance this by also including the end date of fixed-term agreement with offer authorization?

Currently, we have to attempt new agreement using the DH-300 process, and only during the new agreement creation process  get information about customer's fixed-term duration (or rejection if the fixed term is more than 3 months in the future). The desired start date for a new agreement obtained from a customer often differs from the end date of their previous fixed-term agreement. The fixed-term end date also significantly impacts pricing for contracts offered to customers.

This change would avoid unnecessary messages between DH and parties, reduce pricing risks for the involved parties, and enable better electricity pricing for customers based on their actual consumption."""	1/2	1	2				Valtuutusprosessi	
